time,tx_nbr,CalNotRecal,center_freq,modulation,coding_rate,BER,syncprob,SNR,anaSNR,ISISNR,att[i],rxpow[i]
1001002,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-60.097656,NaN, NaN
2001024,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.300781,NaN, NaN
3000962,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.703125,NaN, NaN
5001086,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-62.398438,NaN, NaN
6001088,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-59.203125,NaN, NaN
8001099,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-57.800781,NaN, NaN
9001016,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.203125,NaN, NaN
14001083,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.500000,NaN, NaN
15001061,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.500000,NaN, NaN
17000976,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-59.500000,NaN, NaN
18000967,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.000000,NaN, NaN
21000919,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-61.398438,NaN, NaN
23001018,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-61.199219,NaN, NaN
24000922,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-59.402344,NaN, NaN
26001009,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-59.800781,NaN, NaN
27000943,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.000000,NaN, NaN
28000917,1,0,0.000000,16,0,0.000000e+00,1.000000e+00,96.989700,100.000000,100.000000,NaN, NaN,60.000000,-58.800781,NaN, NaN
